epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3998,1.17617,2.69101,1.72983,0.00346,0.99861,0.50374,0.24276,1.41576,2.63618,2.19394,0.00325,0.00325,0.00325
2,29.6771,0.94513,1.69996,1.47727,0.52586,0.432,0.55957,0.25164,1.62743,2.27888,2.67817,0.00657682,0.00657682,0.00657682
3,43.3455,0.96741,1.38258,1.4865,0.5139,0.57026,0.4715,0.24015,1.69034,2.46687,3.38097,0.00989703,0.00989703,0.00989703
4,56.8541,1.02356,1.26316,1.51511,0.32876,0.22222,0.18153,0.06479,2.5512,3.47621,4.22475,0.0099703,0.0099703,0.0099703
5,70.3678,0.98757,1.124,1.49696,0.43813,0.53892,0.44491,0.19496,1.90987,1.98306,3.38223,0.0099604,0.0099604,0.0099604
6,84.0122,0.97106,1.0181,1.46089,0.34266,0.42068,0.3335,0.12873,2.32709,2.51722,3.57388,0.0099505,0.0099505,0.0099505
7,97.7774,0.95103,0.97552,1.44865,0.53152,0.6125,0.53477,0.261,1.8849,2.12443,3.49422,0.0099406,0.0099406,0.0099406
8,111.75,0.90929,0.90807,1.4207,0.60569,0.67895,0.60565,0.29479,1.71805,1.66321,2.65899,0.0099307,0.0099307,0.0099307
9,125.752,0.90483,0.86149,1.41315,0.62085,0.37103,0.30478,0.14901,1.76424,2.57111,2.45066,0.0099208,0.0099208,0.0099208
10,139.802,0.85894,0.80353,1.38157,0.63779,0.58889,0.57922,0.29316,1.84178,1.65918,2.60046,0.0099109,0.0099109,0.0099109
11,153.863,0.84707,0.78136,1.3765,0.75081,0.75926,0.77734,0.42223,1.58996,1.30445,2.56501,0.009901,0.009901,0.009901
12,167.832,0.8249,0.72673,1.34214,0.7806,0.7503,0.8056,0.4756,1.56987,1.12903,2.42341,0.0098911,0.0098911,0.0098911
13,181.897,0.80321,0.71749,1.3333,0.66815,0.64414,0.59243,0.30033,1.66309,1.7804,2.44797,0.0098812,0.0098812,0.0098812
14,195.852,0.79579,0.69825,1.32211,0.57009,0.75102,0.6488,0.34252,1.77397,2.02029,3.01121,0.0098713,0.0098713,0.0098713
15,209.858,0.768,0.67078,1.30553,0.86662,0.86438,0.88206,0.51275,1.45571,0.98458,2.25471,0.0098614,0.0098614,0.0098614
16,223.947,0.76507,0.65967,1.30252,0.80731,0.82117,0.77985,0.47281,1.43434,1.23155,2.32028,0.0098515,0.0098515,0.0098515
17,237.637,0.72925,0.63997,1.28188,0.83559,0.82454,0.85075,0.43476,1.61365,1.14808,2.67664,0.0098416,0.0098416,0.0098416
18,251.171,0.72026,0.61813,1.27701,0.71522,0.7875,0.84021,0.47737,1.6306,1.39804,2.60492,0.0098317,0.0098317,0.0098317
19,264.665,0.69984,0.60771,1.25617,0.87412,0.84478,0.87356,0.49111,1.63589,0.92953,2.55277,0.0098218,0.0098218,0.0098218
20,278.238,0.69902,0.60239,1.26136,0.82155,0.84686,0.86955,0.53248,1.40153,0.96164,2.20762,0.0098119,0.0098119,0.0098119
21,291.835,0.69552,0.58859,1.25438,0.78582,0.85043,0.86517,0.4823,1.59049,1.04346,2.50002,0.009802,0.009802,0.009802
22,305.469,0.66813,0.57138,1.23825,0.77925,0.80439,0.78457,0.44961,1.48361,1.07487,2.40882,0.0097921,0.0097921,0.0097921
23,319.011,0.66845,0.57577,1.23731,0.68184,0.76301,0.73118,0.41807,1.47934,1.51781,2.38569,0.0097822,0.0097822,0.0097822
24,332.552,0.65172,0.55105,1.22026,0.8428,0.82765,0.88213,0.47388,1.60023,1.01182,2.5663,0.0097723,0.0097723,0.0097723
25,346.078,0.65926,0.54805,1.22877,0.91185,0.83675,0.92796,0.56224,1.48107,0.80762,2.48915,0.0097624,0.0097624,0.0097624
26,359.562,0.64646,0.53789,1.2177,0.85095,0.83194,0.83815,0.49855,1.4325,1.14647,2.36512,0.0097525,0.0097525,0.0097525
27,373.151,0.64486,0.53747,1.2249,0.65735,0.71667,0.61434,0.34248,1.5745,2.08376,2.61203,0.0097426,0.0097426,0.0097426
28,386.668,0.6368,0.5292,1.20805,0.77093,0.80326,0.79706,0.47356,1.46529,1.34642,2.36468,0.0097327,0.0097327,0.0097327
29,400.187,0.61847,0.51991,1.20131,0.86852,0.82083,0.85014,0.52238,1.43506,1.09228,2.42378,0.0097228,0.0097228,0.0097228
30,413.717,0.60563,0.5042,1.18831,0.84074,0.85417,0.88186,0.51655,1.45458,0.87575,2.36378,0.0097129,0.0097129,0.0097129
31,427.339,0.61147,0.49451,1.19349,0.79751,0.83588,0.84962,0.5107,1.50525,1.02218,2.66016,0.009703,0.009703,0.009703
32,440.83,0.59175,0.48112,1.17192,0.73609,0.76286,0.70323,0.42148,1.4437,1.5819,2.39881,0.0096931,0.0096931,0.0096931
33,454.319,0.58301,0.49356,1.1732,0.82973,0.87639,0.92127,0.53783,1.48607,0.87553,2.47793,0.0096832,0.0096832,0.0096832
34,468.138,0.58509,0.48071,1.1787,0.82984,0.80417,0.84651,0.50593,1.51258,1.20486,2.45187,0.0096733,0.0096733,0.0096733
35,481.68,0.57604,0.48088,1.16917,0.88056,0.8625,0.89694,0.52665,1.50395,0.92337,2.56726,0.0096634,0.0096634,0.0096634
36,495.289,0.56693,0.46619,1.16513,0.76551,0.76561,0.81005,0.47508,1.52699,1.13868,2.49757,0.0096535,0.0096535,0.0096535
37,508.917,0.55846,0.45939,1.15613,0.81752,0.89028,0.89236,0.52447,1.48571,0.91835,2.41127,0.0096436,0.0096436,0.0096436
38,522.39,0.55403,0.45805,1.15382,0.79654,0.85278,0.85897,0.52186,1.52405,1.12675,2.57692,0.0096337,0.0096337,0.0096337
39,535.958,0.55123,0.45896,1.15553,0.846,0.87803,0.88441,0.50258,1.49505,0.95247,2.41992,0.0096238,0.0096238,0.0096238
40,549.543,0.56611,0.45859,1.16056,0.80645,0.85525,0.87971,0.52027,1.49002,0.92697,2.55516,0.0096139,0.0096139,0.0096139
41,562.562,0.55198,0.46146,1.14957,0.82369,0.79757,0.83079,0.4756,1.47903,1.13507,2.31313,0.009604,0.009604,0.009604
42,575.443,0.5395,0.45075,1.15102,0.86797,0.86691,0.88613,0.52495,1.48051,1.03444,2.60349,0.0095941,0.0095941,0.0095941
43,588.292,0.5318,0.43347,1.13677,0.82646,0.90733,0.89519,0.53257,1.42351,0.92613,2.37411,0.0095842,0.0095842,0.0095842
44,601.169,0.53582,0.43334,1.14547,0.85332,0.8424,0.84984,0.52739,1.37708,1.04566,2.40334,0.0095743,0.0095743,0.0095743
45,614.022,0.53734,0.43477,1.14303,0.80541,0.83333,0.85849,0.53908,1.43997,1.02823,2.45367,0.0095644,0.0095644,0.0095644
46,626.865,0.51638,0.43008,1.12833,0.77712,0.79434,0.7856,0.4768,1.3633,1.34379,2.40359,0.0095545,0.0095545,0.0095545
47,639.679,0.52494,0.43586,1.14425,0.84085,0.86602,0.87891,0.53192,1.5303,0.98609,2.66759,0.0095446,0.0095446,0.0095446
48,652.515,0.5166,0.42779,1.13268,0.76272,0.81006,0.76238,0.4697,1.45044,1.38925,2.55791,0.0095347,0.0095347,0.0095347
49,665.421,0.51125,0.42241,1.1209,0.83334,0.83501,0.84462,0.52433,1.43418,0.94702,2.49813,0.0095248,0.0095248,0.0095248
50,678.233,0.49831,0.40724,1.11025,0.87875,0.86389,0.89518,0.5376,1.41159,0.94019,2.43821,0.0095149,0.0095149,0.0095149
51,691.108,0.51008,0.41046,1.12259,0.84265,0.89191,0.90455,0.56408,1.42844,1.00342,2.47863,0.009505,0.009505,0.009505
52,703.901,0.49632,0.41075,1.11595,0.87964,0.87639,0.92004,0.53092,1.48035,0.86329,2.57588,0.0094951,0.0094951,0.0094951
53,716.826,0.48631,0.40968,1.11322,0.81464,0.83536,0.83792,0.48544,1.50827,0.97365,2.64089,0.0094852,0.0094852,0.0094852
54,729.716,0.4882,0.40713,1.11161,0.83782,0.87222,0.86568,0.51121,1.44656,1.02222,2.53596,0.0094753,0.0094753,0.0094753
55,742.538,0.48623,0.40261,1.10731,0.75338,0.79867,0.76498,0.44864,1.45102,1.52657,2.45545,0.0094654,0.0094654,0.0094654
56,755.376,0.48009,0.39893,1.10533,0.86754,0.91389,0.92361,0.5421,1.4811,0.84447,2.40786,0.0094555,0.0094555,0.0094555
57,768.131,0.47848,0.40252,1.10739,0.85709,0.87778,0.92239,0.60427,1.40968,0.81421,2.46044,0.0094456,0.0094456,0.0094456
58,780.923,0.47945,0.39602,1.10926,0.86041,0.81804,0.87152,0.53141,1.5302,0.84568,2.56807,0.0094357,0.0094357,0.0094357
59,793.74,0.48127,0.39121,1.10769,0.82639,0.87069,0.84865,0.52963,1.41072,1.04911,2.43906,0.0094258,0.0094258,0.0094258
60,806.535,0.46666,0.3869,1.09792,0.83275,0.83795,0.85962,0.51407,1.45795,0.97672,2.46932,0.0094159,0.0094159,0.0094159
61,819.618,0.47545,0.40086,1.10059,0.88614,0.88123,0.9004,0.59426,1.32927,0.83888,2.28316,0.009406,0.009406,0.009406
62,832.383,0.46956,0.38028,1.09912,0.7772,0.87703,0.82736,0.4819,1.54955,1.12775,2.82522,0.0093961,0.0093961,0.0093961
63,845.127,0.47325,0.39623,1.10198,0.77797,0.86475,0.85105,0.53243,1.43967,1.14788,2.47833,0.0093862,0.0093862,0.0093862
64,857.925,0.4672,0.38454,1.09417,0.80492,0.82083,0.8188,0.5162,1.4523,1.22918,2.48181,0.0093763,0.0093763,0.0093763
65,870.691,0.46324,0.38663,1.0936,0.86029,0.89316,0.89617,0.51854,1.50654,0.90237,2.61637,0.0093664,0.0093664,0.0093664
66,883.505,0.46489,0.37889,1.09404,0.85691,0.94413,0.92775,0.56607,1.49141,0.85113,2.46454,0.0093565,0.0093565,0.0093565
67,896.328,0.44854,0.3687,1.08222,0.87068,0.89195,0.9043,0.56141,1.42822,0.89676,2.43388,0.0093466,0.0093466,0.0093466
68,909.077,0.45898,0.38128,1.09232,0.75774,0.79055,0.80452,0.43589,1.66225,1.40919,2.92031,0.0093367,0.0093367,0.0093367
69,922.109,0.45098,0.37874,1.09026,0.80933,0.86111,0.87866,0.56126,1.42232,1.05182,2.50062,0.0093268,0.0093268,0.0093268
70,934.876,0.44937,0.36855,1.08911,0.846,0.89028,0.91372,0.5647,1.42492,0.86478,2.5131,0.0093169,0.0093169,0.0093169
71,947.686,0.44297,0.36811,1.07864,0.84347,0.89807,0.88356,0.55037,1.42126,0.94921,2.47302,0.009307,0.009307,0.009307
72,960.629,0.43919,0.36823,1.07875,0.88591,0.83003,0.88776,0.55377,1.44207,0.99619,2.5333,0.0092971,0.0092971,0.0092971
73,973.377,0.43973,0.36324,1.08394,0.86683,0.84901,0.87314,0.53361,1.47865,0.98773,2.67554,0.0092872,0.0092872,0.0092872
74,986.11,0.43216,0.35813,1.06931,0.83349,0.85451,0.85876,0.54666,1.35554,1.00723,2.32111,0.0092773,0.0092773,0.0092773
75,998.914,0.43036,0.35275,1.06766,0.8584,0.85364,0.84014,0.53448,1.46187,1.16108,2.62633,0.0092674,0.0092674,0.0092674
76,1011.65,0.42442,0.34787,1.06845,0.86128,0.92479,0.92532,0.57315,1.42194,0.78169,2.45255,0.0092575,0.0092575,0.0092575
77,1024.74,0.43371,0.35386,1.07597,0.846,0.88147,0.87443,0.53355,1.44133,0.92952,2.50144,0.0092476,0.0092476,0.0092476
78,1037.6,0.43204,0.35177,1.07991,0.86011,0.84444,0.91511,0.60107,1.33153,0.95752,2.43288,0.0092377,0.0092377,0.0092377
79,1050.37,0.42694,0.3517,1.07106,0.82729,0.81986,0.87326,0.54266,1.46093,1.15258,2.6057,0.0092278,0.0092278,0.0092278
80,1063.24,0.43162,0.35642,1.07194,0.91149,0.89583,0.945,0.58784,1.38364,0.73666,2.31165,0.0092179,0.0092179,0.0092179
81,1076,0.42438,0.36108,1.06402,0.88399,0.85556,0.90891,0.56291,1.49259,0.84127,2.67007,0.009208,0.009208,0.009208
82,1088.85,0.42933,0.36611,1.06739,0.87755,0.87732,0.91739,0.58973,1.45172,0.82736,2.47231,0.0091981,0.0091981,0.0091981
83,1101.65,0.41912,0.34486,1.06552,0.89472,0.88056,0.92988,0.57584,1.42165,0.84406,2.45593,0.0091882,0.0091882,0.0091882
84,1114.39,0.41438,0.33482,1.06142,0.86131,0.8367,0.88141,0.56463,1.43808,1.01099,2.58089,0.0091783,0.0091783,0.0091783
85,1127.44,0.41168,0.34209,1.05872,0.77487,0.84238,0.82979,0.51833,1.42781,0.91405,2.57651,0.0091684,0.0091684,0.0091684
86,1140.31,0.41963,0.35077,1.05743,0.85649,0.85953,0.90293,0.5744,1.42221,0.90569,2.60721,0.0091585,0.0091585,0.0091585
87,1153.09,0.41345,0.3497,1.06357,0.83329,0.84361,0.87644,0.53885,1.42873,0.96346,2.53631,0.0091486,0.0091486,0.0091486
88,1166.09,0.4187,0.34515,1.06619,0.87931,0.86389,0.89697,0.57082,1.39711,0.93566,2.52791,0.0091387,0.0091387,0.0091387
89,1178.89,0.41442,0.33552,1.05566,0.82202,0.85417,0.85461,0.49882,1.49053,0.98089,2.60821,0.0091288,0.0091288,0.0091288
90,1191.68,0.41211,0.34103,1.06308,0.84439,0.87843,0.89418,0.54812,1.4026,0.93829,2.48309,0.0091189,0.0091189,0.0091189
91,1204.47,0.40969,0.35051,1.06025,0.83995,0.89066,0.88911,0.58026,1.3036,0.97346,2.3319,0.009109,0.009109,0.009109
92,1217.33,0.39207,0.33402,1.04966,0.79986,0.89059,0.87951,0.52164,1.51842,0.93717,2.77387,0.0090991,0.0090991,0.0090991
93,1230.16,0.40416,0.33812,1.05602,0.83114,0.87553,0.86292,0.52285,1.48532,1.11833,2.5511,0.0090892,0.0090892,0.0090892
94,1243.01,0.40174,0.34085,1.05677,0.88521,0.87474,0.89915,0.56358,1.36533,0.89152,2.40839,0.0090793,0.0090793,0.0090793
95,1255.77,0.42193,0.33653,1.06899,0.878,0.84444,0.91767,0.57699,1.43382,0.8887,2.50021,0.0090694,0.0090694,0.0090694
